trial,common,reward.1.1,reward.1.2,reward.2.1,reward.2.2,isymbol_lft,isymbol_rgt,rt1,choice1,final_state,fsymbol_lft,fsymbol_rgt,rt2,choice2,reward,slow
0,1,0.6238569233906528,0.5457334609272063,0.49778111805987024,0.40682108948789725,2,1,1.010748576194601,2,2,1,2,1.2203391822476988,2,1,0
1,1,0.6316846601596521,0.5171500029521732,0.4688357332841586,0.38855341196587,2,1,0.8492646892627818,2,2,1,2,0.7328863699985959,2,0,0
2,0,0.6027961217933315,0.5367081492643715,0.49287081876341304,0.4031874532848933,2,1,0.7236315891459526,2,1,1,2,1.2695639124121954,2,1,0
3,1,0.6591205583408574,0.5322738738134964,0.48977777210925577,0.4125093179283999,1,2,0.6760947241637041,1,1,1,2,1.383957234720583,1,1,0
4,1,0.6389174873607142,0.5639569028309265,0.4956073442007742,0.4191706377215932,2,1,0.9619553802094742,1,1,2,1,1.1156162033839792,2,0,0
5,1,0.6480674684502615,0.5610241531952527,0.525492139919956,0.40149605947659306,2,1,0.805995251315835,1,1,2,1,1.5670455548824975,1,1,0
6,1,0.6644302440369395,0.5812880898105957,0.5394936877005045,0.39560257191615866,2,1,0.7190182115264179,2,2,2,1,1.6046185608502128,2,1,0
7,1,0.6748604533196914,0.5882548958030291,0.5574589498375746,0.3847019604315727,2,1,0.5944413455563335,2,2,2,1,1.0432628082326119,1,1,0
8,1,0.7199561193981145,0.5689578159393394,0.5411400812806875,0.3742404246274176,1,2,0.7806182088752394,2,2,2,1,0.6649947730729764,1,1,0
9,1,0.7354908398617964,0.5535917111551405,0.5492626625789395,0.39681454017685064,2,1,0.7282726910289057,1,1,1,2,1.035976751398266,2,0,0
10,0,0.716751311375039,0.5628612566861702,0.5900325570246061,0.36780299243545755,1,2,0.635069746109366,1,2,2,1,0.9740317075156781,1,1,0
11,1,0.7449673511065037,0.601790798831297,0.5961144414749059,0.35743871857139164,2,1,0.9389867324334773,2,2,1,2,1.3746198837816337,1,0,0
12,1,0.7378086435557201,0.6049982440448771,0.5978039466030419,0.3496800817077741,1,2,0.9708413078260492,1,1,2,1,1.6112362218700582,1,1,0
13,0,0.7386195911097115,0.6151846731462552,0.5941324219041868,0.34068482077305173,1,2,1.875536441886652,1,2,1,2,1.1134958999737137,1,0,0
14,1,0.7358235282374601,0.5994943597236198,0.5734821962440866,0.3759355210629652,1,2,1.0407389962547313,2,2,1,2,0.8194339850651886,2,1,0
15,1,0.7312799645410197,0.5610844468198026,0.5517389274054418,0.40678002740820934,1,2,0.9362447425610299,2,2,2,1,0.6660775260788796,2,1,0
16,0,0.725462107912199,0.5889415755823032,0.6111168276441349,0.3899032399995659,1,2,0.7438079214862228,2,1,2,1,1.3661419849904632,2,1,0
17,1,0.709355227860248,0.5974011299015608,0.6081465024321808,0.3778414958921119,1,2,1.150508393671771,1,1,2,1,0.99509612032125,1,1,0
18,1,0.719051329673341,0.586904647041171,0.6309733570054153,0.38792408972436454,1,2,0.8529682891694392,1,1,1,2,0.9528292760987824,1,1,0
19,1,0.7433558199557895,0.5436969788579675,0.6527772133372878,0.4138421706211811,1,2,0.6498326147611806,2,2,2,1,1.3894128875035676,1,0,0
20,1,0.7446314948095011,0.5618560232931168,0.7148945500142757,0.3967134567367152,1,2,1.164551335541546,2,2,1,2,1.5440543058048206,1,0,0
21,1,0.7002120476270255,0.53958356325602,0.7410906124369959,0.39775337883352185,1,2,0.5920214995621791,1,1,1,2,1.2419788735096517,1,0,0
22,1,0.7115977178821319,0.5232812442057069,0.7084106377883472,0.44154549394335235,2,1,1.1649533373529266,1,1,2,1,0.9815989245398669,2,1,0
23,1,0.7261600949409573,0.5317202320598237,0.7324991363982176,0.48434421181494014,1,2,0.7285439066436084,2,2,1,2,1.1512900973448268,2,0,0
24,0,0.7304980954200215,0.5611996431441508,0.7498121430353748,0.4831645235656281,1,2,0.8022829122419353,1,2,1,2,1.560218153786991,1,1,0
25,1,0.7257520648153446,0.5765842932853994,0.7299262688512381,0.48383776163558184,1,2,1.1515239454765833,1,1,2,1,1.2329721042679012,2,1,0
26,1,0.7240463693483814,0.5252497680475239,0.7353204519909222,0.5592578975147825,2,1,,,,,,,,0,1
27,0,0.7284002317113525,0.5886098869331121,0.7340222684839715,0.5683686382526206,1,2,0.6014281611605838,1,2,2,1,0.7948600421950687,1,1,0
28,0,0.7351127002851697,0.6186257158323334,0.711640102053321,0.5536831534380875,2,1,0.6344013502912276,1,2,1,2,0.7558221705494361,1,0,0
29,0,0.7129527432558356,0.6439405107053048,0.7404945877724326,0.5610361206328489,1,2,0.7846743890804646,2,1,1,2,0.8551271654687298,1,1,0
30,1,0.7023584541163468,0.6423720704817939,0.727468285377627,0.5501926787421483,1,2,0.617154146601024,2,2,2,1,0.8038478263424622,2,0,0
31,0,0.663859764086125,0.6607983149378974,0.7476952159823264,0.5093739261238874,2,1,0.6663915334938793,2,1,2,1,1.0347059555624583,2,0,0
32,1,0.6443003003368275,0.6988050948297954,0.7390310252581228,0.5044001252681345,2,1,0.8244834171237017,1,1,1,2,0.7730317054065381,1,0,0
33,1,0.6566227141920595,0.6869975265811679,0.7359161360895023,0.49234589337268675,1,2,0.8488672077110095,1,1,1,2,0.7121880982758739,2,1,0
34,1,0.6615987864169793,0.6978830464205013,0.7382345712240932,0.509058577453875,1,2,0.8372480293910485,1,1,2,1,1.253695990801134,2,1,0
35,1,0.6568428979320087,0.6766865941597271,0.7274735057089268,0.4842363896872408,1,2,0.6569710097628558,1,1,2,1,0.7804949564433628,2,1,0
36,1,0.6868974404333529,0.7179870414049275,0.713648798789559,0.4807702318928744,2,1,0.9485757111960993,1,1,1,2,0.675864793591245,1,0,0
37,0,0.6948461291488945,0.6961044122665148,0.7423257417186444,0.4572439397227759,2,1,0.5847842615385161,2,1,2,1,1.1215187592315488,2,1,0
38,1,0.6693229665712002,0.7209825819460657,0.7290138960452317,0.508799049212023,1,2,0.9969855891104089,2,2,1,2,1.153875384861749,2,0,0
39,1,0.6703043170271628,0.7263854691548038,0.7145969875560567,0.5274645467732834,2,1,0.8875359247685992,2,2,1,2,1.0229581005023647,1,0,0
40,1,0.6436008670643965,0.7210326961033064,0.6781566907268579,0.5687488737098516,2,1,0.5490895743805595,1,1,2,1,0.7980537567418651,2,1,0
41,0,0.6587977665057101,0.7323471512919266,0.6817678235834087,0.5992139926322252,1,2,0.7275048494848306,1,2,2,1,1.2937786452657747,1,1,0
42,1,0.6897073355455768,0.7487027100621494,0.6207338690810149,0.5853762780478662,2,1,0.7912634217827872,1,1,2,1,0.984741108120943,2,1,0
43,1,0.7133159905970383,0.7397308864535259,0.6102360958978794,0.5772839767766675,1,2,1.046788309882686,1,1,1,2,1.9973812625557912,2,0,0
44,1,0.6933713530657555,0.7347929742664496,0.6349707036991594,0.5538588366933177,2,1,0.6918836918957822,2,2,1,2,1.0282217928979662,2,1,0
